_source_file,time_raw,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
0550.dm_26.dm_meta,39140150,38970550,,MOD_ROCKET_SPLASH,bad,False,0.30666666666666664,0.3,0.12608842852779004,0.08979217025827865,00:02:50.850,JAMES T KIRK,JAMES T KIRK,MOD_ROCKET_SPLASH,0.0,0.0,13.217896461486816,400.5423278808594,0.0,622,241,172,622.0,241.0,172.0,,,0.0,0.0
0550.dm_26.dm_meta,39235550,38970550,,MOD_ROCKET,bad,False,0.06333333333333334,0.08,0.013581833060614149,0.006401546932918325,00:04:26.250,JAMES T KIRK,^4K^7ill^4y,MOD_ROCKET,36.691532135009766,0.12230511009693146,38.465576171875,1165.62353515625,60.0,770,85,712,744.0,24.0,348.0,100.0,-33.0,401.0,3.0
0550.dm_26.dm_meta,39267650,38970550,,MOD_ROCKET,bad,False,0.31666666666666665,0.35333333333333333,0.10693283025169553,0.3365576762816998,00:04:58.350,JAMES T KIRK,^1Zod,MOD_ROCKET,0.0,0.0,14.697803497314453,445.38800048828125,403.0,355,3,489,710.0,199.0,498.0,650.0,-14.0,771.0,138.0
0550.dm_26.dm_meta,39318450,38970550,,MOD_SABER,bad,False,,,,,00:05:49.150,JAMES T KIRK,^1Zod,MOD_SABER,4.4329833984375,0.08865966647863388,14.1778564453125,429.63201904296875,54.0,213,5,239,216.0,25.0,166.0,,,11.0,1.0
0550.dm_26.dm_meta,39521750,38970550,,MOD_ROCKET_SPLASH,bad,False,0.39666666666666667,0.45,0.15552969722841214,0.6954500703834218,00:09:12.450,JAMES T KIRK,f^1O^7a,MOD_ROCKET_SPLASH,6.808674335479736,0.13617348670959473,36.22598648071289,1097.7572021484375,262.0,240,69,425,143.0,180.0,228.0,,,178.0,165.0
0550.dm_26.dm_meta,39583400,38970550,,MOD_TRIP_MINE_SPLASH,bad,False,,,,,00:10:14.100,JAMES T KIRK,^4K^7ill^4y,MOD_TRIP_MINE_SPLASH,0.0,0.0,7.359581470489502,223.0176239013672,392.0,174,0,152,591.0,68.0,321.0,,,210.0,10.0
0550.dm_26.dm_meta,39613950,38970550,,MOD_ROCKET_SPLASH,bad,True,0.20333333333333334,0.14333333333333334,0.12813673585391017,0.12005255913953045,00:10:44.650,JAMES T KIRK,superz,MOD_ROCKET_SPLASH,77.36592102050781,0.08143781125545502,77.46469116210938,2347.414794921875,158.0,496,36,330,729.0,56.0,178.0,,,68.0,0.0
0550.dm_26.dm_meta,39731950,38970550,,MOD_ROCKET_SPLASH,bad,True,0.17666666666666667,0.14666666666666667,0.05802133337294947,0.04371774556249736,00:12:42.650,JAMES T KIRK,^4K^7ill^4y,MOD_ROCKET_SPLASH,107.78504180908203,0.3592834770679474,108.70767974853516,3294.172119140625,158.0,695,67,534,328.0,537.0,367.0,,,478.0,58.0
0550.dm_26.dm_meta,39752250,38970550,,MOD_TRIP_MINE_SPLASH,bad,False,,,,,00:13:02.950,JAMES T KIRK,^1Zod,MOD_TRIP_MINE_SPLASH,0.0,0.0,30.16228675842285,914.0086669921875,535.0,472,0,332,502.0,66.0,608.0,,,148.0,30.0
0550.dm_26.dm_meta,39859150,38970550,,MOD_ROCKET,bad,False,0.09666666666666666,0.14,0.08152242124814353,0.01215106924457932,00:14:49.850,JAMES T KIRK,f^1O^7a,MOD_ROCKET,1.1098366975784302,0.022196734324097633,82.60310363769531,2503.124267578125,207.0,229,0,271,438.0,35.0,301.0,250.0,7.0,160.0,63.0
0550.dm_26.dm_meta,39892400,38970550,,MOD_ROCKET_SPLASH,bad,False,0.46,0.44666666666666666,0.14135978234566082,0.24800541516069227,00:15:23.100,JAMES T KIRK,JAMES T KIRK,MOD_ROCKET_SPLASH,0.0,0.0,68.19447326660156,2066.499267578125,0.0,425,82,242,425.0,82.0,242.0,,,0.0,0.0
0550.dm_26.dm_meta,39892400,38970550,,MOD_ROCKET_SPLASH,bad,False,0.29,0.30666666666666664,0.24346198153268012,0.27781425507305546,00:15:23.100,JAMES T KIRK,^1Zod,MOD_ROCKET_SPLASH,0.0,0.0,68.19447326660156,2066.499267578125,258.0,425,82,242,345.0,278.0,378.0,,,131.0,39.0
0550.dm_26.dm_meta,39950900,38970550,,MOD_ROCKET_SPLASH,bad,False,0.21666666666666667,0.22,0.1807962575559443,0.18780050028044962,00:16:21.600,JAMES T KIRK,f^1O^7a,MOD_ROCKET_SPLASH,1.082822322845459,0.021656446158885956,9.290213584899902,281.5216369628906,179.0,312,45,170,554.0,454.0,446.0,,,765.0,143.0
0550.dm_26.dm_meta,39973700,38970550,,MOD_ROCKET_SPLASH,bad,False,0.12,0.19666666666666666,0.1483579510106976,0.2189832153330335,00:16:44.400,JAMES T KIRK,^1Zod,MOD_ROCKET_SPLASH,0.0,0.0,66.63407897949219,2019.2144775390625,141.0,306,218,634,336.0,295.0,554.0,,,293.0,18.0
