_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
2020-05-20 nelvaan 4v4.dm_26.dm_meta,653676,0:07:31,203853,1418253,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6233333333,0.6066666667,0.9257678548,0.9764978306,0:07:31,^3Xen_Crypt,^7teh,MOD_DISRUPTOR_SNIPER,0,0,18.4723053,559.7668457,503,181,236,293,266,156,277,,,104,67
2020-05-22 ctf4 4v4.dm_26.dm_meta,1022055,0:11:15,348492,1553388,MOD_DISRUPTOR_SNIPER,good,FALSE,0.5066666667,0.7,0.8007535241,0.9761225546,0:11:15,^3Xen_Crypt,^7tilted thrower,MOD_DISRUPTOR_SNIPER,0,0,27.6154213,836.8309326,161,0,0,0,0,0,625,,,0,0
2020-05-23 aeten 4v4.dm_26.dm_meta,1667795,0:07:32,1217378,2367362,MOD_DISRUPTOR_SNIPER,good,FALSE,0.5333333333,0.6,0.9978353543,0.9773909704,0:07:32,^3Xen_Crypt,^7padawan,MOD_DISRUPTOR_SNIPER,0,0,35.32121658,1070.339844,454,85,357,205,70,241,257,,,158,155
2020-05-29 talravin 1v1.dm_26.dm_meta,1506000,0:02:09,1378587,1980738,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6833333333,0.5766666667,0.6014376049,0.9943738918,0:02:09,^3Xen_Crypt,^4r^7d^4l,MOD_DISRUPTOR_SNIPER,0,0,23.58559036,714.7148438,796,32,5,378,523,208,512,,,154,50
2020-06-03 nelvaan 3v3.dm_26.dm_meta,1724654,0:18:59,587012,1805075,MOD_DISRUPTOR_SNIPER,good,FALSE,0.7133333333,0.6366666667,0.9999537911,0.9936199751,0:18:59,^3Xen_Crypt,^7teh,MOD_DISRUPTOR_SNIPER,0,0,50.16026688,1520.008057,191,337,665,474,274,199,313,,,284,148
2020-06-06 nelvaan 3v3.dm_26.dm_meta,65051,0:00:39,26738,905264,MOD_DISRUPTOR,good,FALSE,0.79,0.7433333333,0.9999965929,0.9999755344,0:00:39,^3Xen_Crypt,^4^^0full^7meta^4l,MOD_DISRUPTOR,0,0,34.18416595,1035.883789,515,854,163,815,642,169,534,,,757,453
2020-06-06 nelvaan 3v3.dm_26.dm_meta,452471,0:07:07,26738,905264,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6233333333,0.5666666667,0.5223417725,0.996310762,0:07:07,^3Xen_Crypt,^7old revan,MOD_DISRUPTOR_SNIPER,0,0,10.84741402,328.7095032,876,0,0,129,629,341,611,,,196,89
2020-06-21 dosuun 1v1 (2).dm_26.dm_meta,1903151,0:11:27,1217114,,MOD_DISRUPTOR_SNIPER,good,FALSE,0.7266666667,0.59,0.601071205,0.9652198411,0:11:27,^3Xen_Crypt,^4r^7d^4l,MOD_DISRUPTOR_SNIPER,1.213504434,0.009193215519,16.29241753,493.7096252,1266,380,239,410,297,0,397,,,10,0
2020-06-24 negata-g 2v2.dm_26.dm_meta,27460,0:00:27,8254,,MOD_DISRUPTOR,good,FALSE,0.7166666667,0.75,0.9999958073,0.9999755344,0:00:27,^3Xen_Crypt,^0Fl^5y^0nn,MOD_DISRUPTOR,1.27510047,0.005519915372,1.789836049,54.23745728,2487,772,62,793,482,301,620,,,438,21
2020-06-27 cairn 4v4.dm_26.dm_meta,712115,0:08:31,202001,1329875,MOD_DISRUPTOR,good,FALSE,0.7033333333,0.8166666667,0.9999996618,0.9999755344,0:08:31,^7xenspec,^7Seaal,MOD_DISRUPTOR,0.41762501,0.01265530288,15.09905624,457.5471497,904,885,58,863,390,0,37,,,13,0
